course code,course description,semester taught,taught by
BUS 301,Negotiation and Conflict Resolution - Covers principled negotiation strategies integrating theory and practice across business and interpersonal contexts.,Fall 2025,Dr. Sarah Kim
BUS 302,Advanced Negotiation - Explores complex multi-party negotiations and cross-cultural bargaining tactics.,Spring 2026,Dr. Sarah Kim
LAW 210,Legal Negotiation and Mediation - Focuses on dispute resolution techniques and mediation processes in legal settings.,Fall 2025,Prof. James Holloway
MGT 415,Leadership and Organizational Behavior - Examines leadership styles team dynamics and motivational theories in organizations.,Spring 2026,Dr. Marcus Bell
MGT 201,Principles of Management - Introduction to management functions including planning organizing leading and controlling.,Fall 2025,Prof. Linda Torres
MKT 310,Consumer Behavior - Study of psychological social and cultural factors influencing consumer decision-making.,Spring 2026,Dr. Priya Nair
MKT 220,Marketing Strategy - Covers market segmentation targeting positioning and the marketing mix.,Fall 2025,Prof. David Chen
FIN 301,Corporate Finance - Analysis of financial decision-making capital budgeting and risk management.,Spring 2026,Dr. Robert Walsh
FIN 410,Investment Analysis - Covers portfolio theory equity valuation and fixed income securities.,Fall 2025,Dr. Angela Frost
COMM 205,Interpersonal Communication - Explores verbal and nonverbal communication in personal and professional relationships.,Spring 2026,Prof. Maria Gonzalez
COMM 310,Persuasion and Influence - Examines theories of attitude change rhetoric and persuasive communication.,Fall 2025,Prof. Maria Gonzalez
ECON 201,Microeconomics - Fundamental principles of supply demand market structures and consumer choice.,Spring 2026,Dr. Thomas Patel
ECON 305,Game Theory and Strategic Behavior - Applies mathematical models to strategic decision-making and competitive interactions.,Fall 2025,Dr. Thomas Patel
CS 101,Introduction to Programming - Fundamentals of programming using Python including data structures control flow and functions.,Spring 2026,Prof. Kevin Park
CS 305,Data Structures and Algorithms - In-depth study of arrays trees graphs sorting and algorithm complexity.,Fall 2025,Prof. Kevin Park
CS 420,Machine Learning - Introduction to supervised and unsupervised learning neural networks and model evaluation.,Spring 2026,Dr. Lisa Huang
DATA 201,Introduction to Data Science - Covers data wrangling visualization statistics and introductory machine learning.,Fall 2025,Dr. Lisa Huang
PSYC 101,Introduction to Psychology - Survey of major areas in psychology including cognition perception development and behavior.,Spring 2026,Dr. Natalie Brooks
PSYC 310,Social Psychology - Examines how individuals are influenced by social contexts groups and cultural norms.,Fall 2025,Dr. Natalie Brooks
PHIL 220,Ethics and Moral Philosophy - Introduction to ethical theory covering utilitarianism deontology and virtue ethics.,Spring 2026,Prof. Alan Reed
